104,8.14,R U B D2 R D' R' D2 F D R2 U' R2 L2 B2 D L2 U B2 R2
105,9.02,R U F R2 F U2 F2 R2 B' D2 U2 L2 F' L D U' B2 L B' F2
106,8.16,R2 D2 F2 R2 D2 F2 R2 U L2 D F' L U B' L' D' L' U2 B' L'
107,7.36,U' F2 L2 R2 F2 L2 D R2 U' L2 U R' B' L B F R' U B D2
108,6.99,B F2 D L2 U' F2 D L2 R2 D2 B2 F D L B R B2 R D2 U'
109,7.78,R2 L' U2 F2 R D B' R2 F2 L2 B2 U F2 U D2 L2 U2 F2 R' U'
110,8.2,R2 F' U' D2 L2 F D2 L U' R2 B2 R D2 R' L' B2 U2 B2 R' B2
111,10.11,B2 D2 B2 L U2 R' U2 F2 R B2 F2 U' B U' B D' F D B U2
112,8.33,F2 L D2 F2 U' L2 U' L' D U2 F R2 D2 F U2 F' R2 B' U2 L2 F'
114,7.94,R2 U' L2 R2 D L2 F2 D2 L2 D B2 L B L' R2 B R U' R2 D U2
115,9.31,U2 L2 B' L' U B2 R' U' D2 R2 F2 L U2 L' D2 R B2 R' U2 L'
116,10.3,F2 L2 D2 L' D2 B2 R D2 F2 D2 L' U F' L2 D2 U2 B' U' R2 F
117,9.03,B' L' U2 D R F R U' L2 D' B2 R2 D' R2 B2 L2 F2 D F L'
118,9.44,B' R2 F2 B' R' F U R2 F2 B2 D2 B2 L U2 F2 L' B2 L2 F
119,9.9,B L2 D L2 D B2 U2 B2 R2 F2 L2 U' L2 R B L' U F' L2 F' D
120,8.49,F U' L2 B2 D' B2 L2 U' B2 U' B2 F R2 D F2 R B2 R' B
121,8.44,L2 B' D' L D' R2 D' R' L' B2 U2 R' U2 R U2 L2 F2 U' B
122,10.99,U' F D2 F U F2 L' B U2 F2 U F2 D' R2 F2 U' R2 D' B2 R'
123,8.38,R2 D2 U2 R D2 L2 U2 F2 L' F2 L' F2 U R U2 L2 B F' L2 U' B2
124,7.44,B R2 U D R' L D2 F U' D2 B U2 L2 D2 F' L2 B' D2 B R2
125,8.2,L R2 D R2 F2 U L2 B2 U2 F2 D' L2 F2 B' L2 D' R F R' F D'
126,8.9,R B2 U B' R' U R2 B R2 F2 R2 U R2 B2 L2 U2 R2 U' R2 D'
128,8.15,B F2 L2 R2 D2 U B2 L2 D' R2 B2 F2 U' R D F R2 F2 D2 L2 R'
129,7.41,F' U B' U2 L B D L2 D2 F2 R' U2 F2 U2 L2 D2 B' R
130,7.1,D F2 D' U' R2 F2 U B2 U F' L2 F D2 L2 R U' R D' F'
131,8.49,B2 D' F2 L2 D U F2 L2 D R2 U' R' U2 F U' B D2 F2 L' U2 F2
132,7.46,L F R' L' D F' D2 L' U' R' U2 R2 U2 F2 R2 B2 D2 F2 L' B2
133,7.98,U' F U2 R2 B L2 U2 B' R2 U2 F2 D' L' U2 F D R' B2 R2 D
134,9.81,F L2 B2 L2 R2 F' U2 F2 D2 F U2 F U F2 R2 D' R' B D'
135,8.76,L B2 F' R2 F2 L2 D2 L2 F D2 U2 B' R' U2 F D' U B2 R' B D2
136,7.98,U2 B2 R2 F U2 F' R2 F' R2 D2 L2 U2 L' U' B U2 L F' D' B
137,9.7,U' R' F R2 U2 R2 D2 F' L2 F' U2 L2 U2 F' L' D R2 B' R' D' F'
138,9.46,D' L B2 L2 D2 L2 F' U2 F' D2 R2 F' D2 B R' F2 L2 U' L U2 R2
139,8.31,L' B2 U' R' L F' R B' L' F' D' B2 R2 F2 R2 D L2 D B2 D'
140,9.56,F' R2 F' U B' R' F L' F U R2 U' B2 L2 U' F2 U2 B2 L2
142,8.42,B2 F2 U F2 D2 L2 B2 D2 R2 D' R2 B' L' R' U' F D' B' D' L' D2
143,8.75,U2 F2 L2 D2 L F2 L2 U2 F2 L' U2 F2 U L2 B R B U2 R2 F2 U2
144,9.97,R F D2 L2 D2 R2 B' U2 B F2 D2 F2 R2 U R' B' R F2 L D2
145,8.16,U' B2 D L2 D' R2 B2 U R2 B2 L F R D B2 L D B U B'
146,8.16,R B2 F2 R' B2 D2 F2 R' B2 L R2 F L' D' R F2 U L B' F
147,10.71,F' R B L2 B U2 B L2 D2 R2 F' U2 F2 U' L D2 U2 R F'
148,7.95,F2 U2 B' L2 R2 F' U2 L2 D2 B2 R2 F L' D' L U F2 R' B R2
149,11.43,U D' F L D B2 U2 L2 U' B' U2 F L2 U2 R2 U2 F2 B' U2 B' L2
150,8.84,R2 U' B2 L2 F' U2 B L2 U2 L2 B2 U2 F2 U' L F' R U' B U' R'
151,7.99,F L F2 U2 L' U2 L D2 R U2 R' B2 R2 U B' U' F2 L R2 U2
152,7.86,R U2 L2 F' L2 R2 F2 R2 F' U2 F L2 B' L D2 R F' U2 B U' F2
153,10.91,R F' R2 U2 F R2 F U2 B L2 R B' R' F2 D' B' D2 U'
154,8.15,R U B R B' D2 R' D' B' D' L2 D2 R2 F2 D L2 D' L2 U2 F2 R2
